epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,544.556,1.28269,2.20625,1.17971,0.82442,0.61953,0.71857,0.43478,1.26979,2.68725,1.19709,0.000659091,0.000659091,0.000659091
2,1098.06,1.3391,1.47994,1.19939,0.83441,0.80324,0.84708,0.51317,1.36386,1.92751,1.32196,0.00128201,0.00128201,0.00128201
3,1646.25,1.37057,1.24811,1.21697,0.66538,0.65361,0.63968,0.36121,1.49461,2.09195,1.37186,0.00186092,0.00186092,0.00186092
4,2191.78,1.32708,1.02573,1.197,0.85045,0.7662,0.79952,0.49382,1.36512,1.26066,1.25542,0.001802,0.001802,0.001802
5,2735.32,1.3181,0.96062,1.18354,0.81668,0.76312,0.82478,0.50959,1.37337,1.25142,1.23652,0.001736,0.001736,0.001736
6,3278.59,1.25221,0.84928,1.15645,0.92412,0.82407,0.89135,0.54001,1.33584,0.91136,1.18887,0.00167,0.00167,0.00167
7,3822.74,1.25785,0.8543,1.15431,0.89838,0.85417,0.90043,0.56582,1.31251,0.95419,1.21659,0.001604,0.001604,0.001604
8,4374.67,1.26528,0.80381,1.15194,0.93451,0.83333,0.89785,0.57151,1.26935,0.86464,1.20687,0.001538,0.001538,0.001538
9,4920.85,1.25644,0.78176,1.13917,0.97806,0.82567,0.9129,0.59324,1.27054,0.75366,1.16589,0.001472,0.001472,0.001472
10,5464.99,1.21506,0.73414,1.13776,0.89007,0.84343,0.89784,0.60493,1.20992,0.77448,1.14142,0.001406,0.001406,0.001406
11,6010.33,1.23336,0.72714,1.11745,0.93854,0.88374,0.93445,0.60875,1.26822,0.72589,1.15969,0.00134,0.00134,0.00134
12,6555.65,1.20121,0.69005,1.10385,0.90632,0.88657,0.92278,0.61019,1.2115,0.75382,1.1337,0.001274,0.001274,0.001274
13,7100.29,1.21096,0.68127,1.12117,0.93925,0.89583,0.93307,0.62627,1.20816,0.66083,1.11748,0.001208,0.001208,0.001208
14,7645.2,1.1461,0.64136,1.08425,0.93244,0.86266,0.92451,0.60627,1.24497,0.70097,1.17177,0.001142,0.001142,0.001142
15,8193.26,1.17474,0.66266,1.10794,0.95963,0.90972,0.93295,0.62147,1.17953,0.64097,1.11142,0.001076,0.001076,0.001076
16,8738.32,1.18358,0.64921,1.10301,0.95359,0.90367,0.92902,0.61398,1.20752,0.65696,1.11778,0.00101,0.00101,0.00101
17,9283.01,1.16448,0.62659,1.092,0.95403,0.91271,0.94076,0.62716,1.19409,0.62196,1.0953,0.000944,0.000944,0.000944
18,9827.25,1.13896,0.62297,1.09179,0.93995,0.90578,0.94189,0.62413,1.23654,0.61584,1.10845,0.000878,0.000878,0.000878
19,10372.1,1.13103,0.60407,1.07683,0.94896,0.89815,0.92972,0.62309,1.19577,0.61661,1.11798,0.000812,0.000812,0.000812
20,10917.1,1.11718,0.58756,1.07395,0.96313,0.90691,0.93792,0.63004,1.17907,0.59718,1.09677,0.000746,0.000746,0.000746
21,11457.5,1.108,0.54179,1.09641,0.94711,0.91204,0.94207,0.64359,1.17231,0.58671,1.08897,0.00068,0.00068,0.00068
22,12008.1,1.10252,0.53293,1.08422,0.9598,0.90046,0.9395,0.64655,1.16819,0.58522,1.09488,0.000614,0.000614,0.000614
23,12558.5,1.07887,0.51826,1.0735,0.96957,0.91204,0.94764,0.64068,1.18141,0.55928,1.09475,0.000548,0.000548,0.000548
24,13100.3,1.09507,0.51655,1.09096,0.97187,0.91204,0.94624,0.65557,1.17905,0.55625,1.09125,0.000482,0.000482,0.000482
25,13630.9,1.07433,0.49483,1.07969,0.96818,0.91571,0.94244,0.63445,1.17059,0.54258,1.07928,0.000416,0.000416,0.000416
26,14160.7,1.05984,0.48748,1.06617,0.97781,0.91798,0.95383,0.65717,1.15349,0.53714,1.07679,0.00035,0.00035,0.00035
27,14689.7,1.04781,0.47679,1.05812,0.98261,0.91546,0.95418,0.66282,1.16029,0.51445,1.0759,0.000284,0.000284,0.000284
28,15219.6,1.0276,0.464,1.0447,0.95954,0.93519,0.94934,0.65929,1.14901,0.50486,1.07807,0.000218,0.000218,0.000218
29,15750.3,1.02119,0.45364,1.04915,0.97512,0.92593,0.9534,0.66291,1.15234,0.50497,1.07589,0.000152,0.000152,0.000152
30,16288.9,1.00663,0.44656,1.03821,0.97532,0.93056,0.95255,0.66097,1.15294,0.50217,1.07559,8.6e-05,8.6e-05,8.6e-05
